sample_id,Type,UMAP1,UMAP2,motility_cluster
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000008847,wt_B-cell,12.243629,16.945137,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000001611,wt_B-cell,11.634599,17.607319,0
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000000011,wt_B-cell,11.629432,17.8917,0
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000009519,wt_B-cell,11.67737,17.991146,0
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000005529,wt_B-cell,11.772594,17.996391,0
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000009339,wt_B-cell,11.914781,17.579226,0
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000002765,wt_B-cell,12.267029,17.829695,0
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000001191,wt_B-cell,12.595033,17.815222,0
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000004988,wt_B-cell,11.848017,18.143349,0
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_wt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000003546,wt_B-cell,11.592912,17.559004,0
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_wt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000000605,wt_B-cell,12.04855,17.86967,0
8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_1000000798,wt_B-cell,12.277676,17.29522,0
8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT3-30-117-FOV230-256px_Statistics_1000000445,wt_B-cell,11.971155,18.086843,0
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000000063,wt_B-cell,11.7415,17.261251,0
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000000008,wt_B-cell,12.01678,17.273178,0
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_wt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000004615,wt_B-cell,12.052375,18.012493,0
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_wt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000006570,wt_B-cell,11.704275,17.461718,0
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_wt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000008333,wt_B-cell,11.931562,18.015997,0
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_wt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000004676,wt_B-cell,11.597571,17.90862,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_mt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000001788,mt_B-cell,10.466971,15.602523,1
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_mt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000001208,mt_B-cell,10.990697,17.522982,0
4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_1000004704,mt_B-cell,10.880679,16.679804,1
4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_1000004351,mt_B-cell,10.745092,15.711965,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000006122,mt_B-cell,10.793687,17.209827,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000005659,mt_B-cell,10.022003,16.245155,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000024099,mt_B-cell,10.237109,15.772209,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000000071,mt_B-cell,11.182415,16.188612,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000009056,mt_B-cell,11.149656,17.598862,0
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000000257,mt_B-cell,12.130571,16.093367,1
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000016452,mt_B-cell,10.925133,16.00374,1
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000016633,mt_B-cell,9.601425,15.776674,4
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000000206,mt_B-cell,9.87664,15.638768,1
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000000166,mt_B-cell,11.832158,16.637949,1
